"sku","name","title","family","role","technologyType","hardwareType","productRole","catalogVisibility","roleCorrectionSource","description","features","featureTags","tags","capabilities","searchTerms","manualReviewNotes"
"NHD-400-E-TX","NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","The NHD-400-E-TX encoder offers stunning 4K HDR video, multichannel audio support and 4K/2K scaling to seamlessly handle mixed resolution HDMI sources for matrix and video wall functionality. The reduced cost Type E version removes some control ports but retains the 400 Series core features. Featuring incredible low latency the 400 Series is the ideal AV over IP solution for systems where high quality and low delay are key requirements, making it perfect for demanding commercial applications. The NHD-400-E-TX JPEG...","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","NHD-400-E-TX; NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm; Video Processor; Video processing hardware; Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching; NetworkHD AVoIP; Endpoint hardware",
"NHD-400-RX","4K AV Over IP - NetworkHDâ„¢ 400 Series| WyreStorm","4K AV Over IP - NetworkHDâ„¢ 400 Series| WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","4k AV Over IP - NetworkHD 400 Series 4K AV over IP JPEG 2000 Decoder. The NHD-400-RX is the perfect component for a high quality, scalable video wall or matrix system with support for 3G, 2G, HD and UHD resolutions up to 4096Ã—2160 @60Hz@4:4:4 (8bit) in 23.","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling","NHD-400-RX; 4K AV Over IP - NetworkHDâ„¢ 400 Series| WyreStorm; Video Processor; Video processing hardware; Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling; NetworkHD AVoIP; Endpoint hardware",
"NHD-400-TX","NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","DISCONTINUED As part of the WyreStorm NetworkHD 400 Series, the NHD-400-TX streaming encoder offers stunning 4K HDR video, multi-channel audio support and 4K/2K auto-scaling to seamlessly handle mixed resolution sources, content and display devices for matrix and video wall functionality when used in conjunction with a 400 Series decoder. Featuring incredibly low latency, the 400 Series is the ideal AV over IP solution for systems where high quality and low latency are key requirements, making it perfect for both r...","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling; Seamless Switching","NHD-400-TX; NetworkHD 400 Series 4K AV over IP JPEG 2000 Encoder - WyreStorm; Video Processor; Video processing hardware; Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; Scaling; Seamless Switching; NetworkHD AVoIP; Endpoint hardware",
"NHD-400-TX-IW","NetworkHD 400 Series In-Wall 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD 400 Series In-Wall 4K AV over IP JPEG 2000 Encoder - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","DISCONTINUED The NHD-400-TX-IW streaming encoder offers stunning 4K HDR video, multichannel audio support and 4K/2K scaling to seamlessly handle mixed resolution HDMI or VGA sources for matrix and video wall functionality. Featuring incredibly low latency, the 400 Series is the ideal AV over IP solution for systems where high quality and low delay are key requirements, making it perfect for demanding commercial applications. The NHD-400-TX-IW JPEG 2000 encoder is intended for use with 400 Series JPEG 2000 decoders...","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching","NHD-400-TX-IW; NetworkHD 400 Series In-Wall 4K AV over IP JPEG 2000 Encoder - WyreStorm; Video Processor; Video processing hardware; Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; HDMI; Scaling; Seamless Switching; NetworkHD AVoIP; Endpoint hardware",
"NHD-500","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","The NetworkHD 500s series is an HDMI 2.0 AV over IP solution. Capable of encoding up to 4K60 including Dolby Vision, HDR10 and HLG content. The 500 series comes loaded with a number of advanced features such as the flexibility of Ethernet or Fiber as a transport method. Ultra-low latency encoding and incredibly fast matrix switching speeds enhance the experience. A powerful routing engine allows audio, video, USB and control signals to be discretely sent to any endpoint. Create captivating video walls up to 16x16 i...","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","NHD-500; NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm; Video Processor; Video processing hardware; Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI; NetworkHD AVoIP; Endpoint hardware",
"NHD-500-DNT-TX","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder with Dante Audio - WyreStorm","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder with Dante Audio - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","The NHD-500-DNT-TX is part of the powerful NetworkHD 500 series family of products. Capable of encoding up to 4K60 including Dolby Vision, HDR10 and HLG content. The 500 series comes loaded with a number of advanced features such as the flexibility of Ethernet or Fiber as a transport method. Ultra-low latency encoding and incredibly fast matrix switching speeds enhance the experience. Unique to this encoder is an integrated 2 channel Dante & AES67 audio output. -","Matrix; Switching; AVoIP; NetworkHD; Dante; AES67","Matrix; Switching; AVoIP; NetworkHD; Dante; AES67","Matrix; Switching; AVoIP; NetworkHD; Dante; AES67","Matrix; Switching; AVoIP; NetworkHD; Dante; AES67","NHD-500-DNT-TX; NetworkHD 500 Series 4K60 4:4:4 JPEG2000 Encoder with Dante Audio - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; Matrix; Switching; AVoIP; NetworkHD; Dante; AES67; Endpoint hardware",
"NHD-500-E","NetworkHD 500 Series Lite 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm","NetworkHD 500 Series Lite 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","The NHD-500-E encoder and decoder enhance the NetworkHD 500 series by providing an economical 4K60 solution. The â€œEâ€ variations remove many of the I/O found on the standard encoder and decoder and retain only the core functionalities that suite most applications. This helps avoid an over-specified hardware solution while still offering interoperability between all other 500 series components, enabling system designs to be better tailored to exact needs. -","AVoIP; NetworkHD","AVoIP; NetworkHD","AVoIP; NetworkHD","AVoIP; NetworkHD","NHD-500-E; NetworkHD 500 Series Lite 4K60 4:4:4 JPEG2000 Encoder & Decoder - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; Endpoint hardware",
"NHD-500-IW-TX","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm","NetworkHD AVoIP","System controller / conditional-default","AVoIP Infrastructure","AVoIP Infrastructure","system-controller","conditional-default","nhd-control-rule","The NHD-500-IW-TX brings versatility to your AV over IP applications. This 2-gang in-wall 500 series encoder features HDMI and USB-C switching inputs suited for connecting todayâ€™s modern laptops and tablets. Perfect for education or corporate environments, install this encoder in a wall, table, desk, podium or anywhere a remote input is needed. Integrated USB extension allows laptops to also connect to peripheral components such as conference cameras, smartboards/touchscreens and more.","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","NHD-500-IW-TX; NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; USB-C; USB; HDMI; System controller / conditional-default; AVoIP Infrastructure",
"NHD-500-IW-TX-V2","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm","NetworkHD AVoIP","System controller / conditional-default","AVoIP Infrastructure","AVoIP Infrastructure","system-controller","conditional-default","nhd-control-rule","The NHD-500-IW-TX v2 brings versatility to your AV over IP applications. This 2-gang in-wall 500 series encoder features HDMI and USB-C switching inputs suited for connecting todayâ€™s modern laptops and tablets. Perfect for education or corporate environments, install this encoder in a wall, table, desk, podium or anywhere a remote input is needed. Integrated USB extension allows laptops to also connect to peripheral components such as conference cameras, smartboards/touchscreens and more.","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","AVoIP; NetworkHD; USB-C; USB; HDMI; AVoIP Infrastructure","NHD-500-IW-TX-V2; NetworkHD 500 Series 4K60 4:4:4 JPEG2000 In-Wall Encoder - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; USB-C; USB; HDMI; System controller / conditional-default; AVoIP Infrastructure",
"NHD-500-T","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 TAA Compliant Encoder & Decoder - WyreStorm","NetworkHD 500 Series 4K60 4:4:4 JPEG2000 TAA Compliant Encoder & Decoder - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","The TAA compliant NetworkHD 500s series is an HDMI 2.0 AV over IP solution. Capable of encoding up to 4K60 including Dolby Vision, HDR10 and HLG content. The 500 series comes loaded with a number of advanced features such as the flexibility of Ethernet or Fiber as a transport method. Ultra-low latency encoding and incredibly fast matrix switching speeds enhance the experience. A powerful routing engine allows audio, video, USB and control signals to be discretely sent to any endpoint. Create captivating video walls...","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI","NHD-500-T; NetworkHD 500 Series 4K60 4:4:4 JPEG2000 TAA Compliant Encoder & Decoder - WyreStorm; Video Processor; Video processing hardware; Matrix; Switching; AVoIP; NetworkHD; Video Wall; Processing; USB; HDMI; NetworkHD AVoIP; Endpoint hardware",
"NHD-500-TXRX-V2","WyreStorm NHD-500-TX/RX V2 4K60 Encoder & Decoder with JPEG2000","WyreStorm NHD-500-TX/RX V2 4K60 Encoder & Decoder with JPEG2000","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","WyreStorm NHD-500-TX/RX V2 delivers 4K60 4:4:4 AV over IP with ultra-low latency, fiber or Ethernet transport, video wall support, and USB routing. Ideal for control rooms, campuses, and enterprise AV.","AVoIP; NetworkHD; Video Wall; Processing; USB","AVoIP; NetworkHD; Video Wall; Processing; USB","AVoIP; NetworkHD; Video Wall; Processing; USB","AVoIP; NetworkHD; Video Wall; Processing; USB","NHD-500-TXRX-V2; WyreStorm NHD-500-TX/RX V2 4K60 Encoder & Decoder with JPEG2000; Video Processor; Video processing hardware; AVoIP; NetworkHD; Video Wall; Processing; USB; NetworkHD AVoIP; Endpoint hardware",
"NHD-510-TX","WyreStorm NHD-510-TX 4K60 JPEG2000 AV over IP Encoder with USB-C","WyreStorm NHD-510-TX 4K60 JPEG2000 AV over IP Encoder with USB-C","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","WyreStorm NHD-510-TX is a 4K60 AV over IP encoder with HDMI, USB-C, Dante AV-A, ultra-low latency, and fiber support. Ideal for meeting rooms, campuses, and control rooms.","AVoIP; NetworkHD; USB-C; USB; HDMI; Dante","AVoIP; NetworkHD; USB-C; USB; HDMI; Dante","AVoIP; NetworkHD; USB-C; USB; HDMI; Dante","AVoIP; NetworkHD; USB-C; USB; HDMI; Dante","NHD-510-TX; WyreStorm NHD-510-TX 4K60 JPEG2000 AV over IP Encoder with USB-C; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; USB-C; USB; HDMI; Dante; Endpoint hardware",
"NHD-600-E-TXRX","WyreStorm NHD-600-E-TX/RX 4K60 SDVoE AV over IP Encoder & Decoder","WyreStorm NHD-600-E-TX/RX 4K60 SDVoE AV over IP Encoder & Decoder","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","WyreStorm NHD-600-E-TX/RX delivers lossless 4K60 4:4:4 AV over IP with near-zero latency, seamless switching, and HDR support. Ideal for control rooms, esports, campuses, and enterprise AV.","AVoIP; NetworkHD; Seamless Switching","AVoIP; NetworkHD; Seamless Switching","AVoIP; NetworkHD; Seamless Switching","AVoIP; NetworkHD; Seamless Switching","NHD-600-E-TXRX; WyreStorm NHD-600-E-TX/RX 4K60 SDVoE AV over IP Encoder & Decoder; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; Seamless Switching; Endpoint hardware",
"NHD-600-RX","NetworkHD 600 Series 4K HDR Premium AV over IP SDVoE Decoder - WyreStorm","NetworkHD 600 Series 4K HDR Premium AV over IP SDVoE Decoder - WyreStorm","NetworkHD AVoIP","Endpoint hardware","AVoIP","AVoIP","endpoint-hardware","default","nhd-endpoint-rule","DISCONTINUED The NetworkHD Premium AV over IP SDVoE Decoder offers the ultimate AV over IP platform. Supporting highly scalable, high-bandwidth, secure video content alongside multi-channel audio and a plethora of connectivity and control options the 10GbE system is easily managed in a flexible, unified software environment.?Utilizing the SDVoE technology standard, truly lossless and latency-free video distribution can be achieved over IP networks.","AVoIP; NetworkHD; Scaling","AVoIP; NetworkHD; Scaling","AVoIP; NetworkHD; Scaling","AVoIP; NetworkHD; Scaling","NHD-600-RX; NetworkHD 600 Series 4K HDR Premium AV over IP SDVoE Decoder - WyreStorm; NetworkHD AVoIP; AVoIP endpoint / system component; AVoIP; NetworkHD; Scaling; Endpoint hardware",
