"Path","Extension","Lines","KB"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\lib\roomTemplates.ts",".ts","1863","83.78"
".wingman-backups\verified-proposal-templates-20260710-200928\files\src\wingman2\lib\roomTemplates.ts",".ts","1858","93.93"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_apo_dg2_dependency_rule_20260706-112917\src\wingman2\lib\roomTemplates.ts",".ts","1858","93.93"
".wingman-work\backups\20260811-125821\src\__tests__\projectStore.test.ts",".ts","1808","53.76"
"_backups\retire-finder-feature-sweep-v3-20260720-084642\files\src\__tests__\projectStore.test.ts",".ts","1808","53.66"
"src\__tests__\projectStore.test.ts",".ts","1808","53.76"
"_backups\retire-finder-feature-sweep-v5-20260720-085648\files\src\__tests__\projectStore.test.ts",".ts","1808","53.66"
"_backups\retire-finder-feature-sweep-v4-20260720-085242\files\src\__tests__\projectStore.test.ts",".ts","1808","53.66"
".wingman-work\backups\20260811-125346\src\__tests__\projectStore.test.ts",".ts","1808","53.76"
".wingman-work\backups\20260811-125215\src\__tests__\projectStore.test.ts",".ts","1808","53.76"
"public\product-call-card-products.official-audit.json",".json","1736","92.03"
".wingman-backups\camera-schematic-encoding-20260710-211343\TechnicalConnectivitySchematic.tsx",".tsx","1718","33.54"
"_backups\retire-finder-feature-sweep-v4-20260720-085242\apply-retire-finder-feature-sweep.mjs",".mjs","1658","55.99"
"_backups\retire-finder-feature-sweep-v5-20260720-085648\apply-retire-finder-feature-sweep.mjs",".mjs","1658","56"
